;NU_ANO_CENSO;SG_IES;CO_IES;NO_CURSO;TP_ORGANIZACAO_ACADEMICA;TP_REDE;NO_CINE_ROTULO;NO_CINE_AREA_GERAL;NO_CINE_AREA_ESPECIFICA;NO_CINE_AREA_DETALHADA;TP_GRAU_ACADEMICO;IN_GRATUITO;TP_MODALIDADE_ENSINO;TP_NIVEL_ACADEMICO;QT_VG_TOTAL;QT_ING_ENEM;QT_ING_VESTIBULAR;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_MAT_NACESTRANG;QT_CONC_NACESTRANG;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_MAT_FINANC;QT_CONC_FINANC;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA
15;2018;UNB;2;ADMINISTRACAO;UNIVERSIDADE;PUBLICA;ADMINISTRACAO;NEGOCIOS, ADMINISTRACAO E DIREITO;NEGOCIOS E ADMINISTRACAO;GESTAO E ADMINISTRACAO;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;285.0;53.0;61.0;134.0;151.0;1079.0;440.0;639.0;544.0;535.0;3.0;831.0;158.0;38.0;20.0;18.0;10.0;1.0;440.0;86.0;393.0;24.0;3.0;133.0;145.0;67.0;78.0;72.0;73.0;0.0;91.0;38.0;10.0;5.0;1.0;0.0;0.0;71.0;16.0;50.0;4.0;0.0;4.0;13.0;1.0;1.0;0.0;0.0;0.0;466.0;613.0;0.0;38.0;107.0;0.0
16;2018;UNB;2;AGRONOMIA;UNIVERSIDADE;PUBLICA;AGRONOMIA;AGRICULTURA, SILVICULTURA, PESCA E VETERINARIA;AGRICULTURA;PRODUCAO AGRICOLA, AGROPECUARIA E ZOOTECNIA;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;172.0;39.0;38.0;172.0;0.0;704.0;313.0;391.0;704.0;0.0;0.0;585.0;86.0;23.0;8.0;2.0;0.0;0.0;247.0;54.0;291.0;11.0;1.0;100.0;92.0;43.0;49.0;92.0;0.0;0.0;47.0;39.0;2.0;4.0;0.0;0.0;0.0;39.0;7.0;42.0;3.0;0.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0;345.0;359.0;0.0;38.0;54.0;0.0
17;2018;UNB;2;ARQUITETURA E URBANISMO;UNIVERSIDADE;PUBLICA;ARQUITETURA E URBANISMO;ENGENHARIA, PRODUCAO E CONSTRUCAO;ARQUITETURA E CONSTRUCAO;ARQUITETURA E PLANEJAMENTO URBANO;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;92.0;19.0;20.0;92.0;0.0;539.0;390.0;149.0;539.0;0.0;4.0;436.0;91.0;4.0;2.0;0.0;1.0;1.0;241.0;38.0;180.0;8.0;2.0;70.0;70.0;53.0;17.0;70.0;0.0;0.0;26.0;42.0;1.0;1.0;0.0;0.0;0.0;39.0;4.0;23.0;3.0;0.0;1.0;8.0;1.0;0.0;0.0;0.0;0.0;188.0;351.0;0.0;9.0;61.0;0.0
18;2018;UNB;2;ARQUITETURA E URBANISMO;UNIVERSIDADE;PUBLICA;ARQUITETURA E URBANISMO;ENGENHARIA, PRODUCAO E CONSTRUCAO;ARQUITETURA E CONSTRUCAO;ARQUITETURA E PLANEJAMENTO URBANO;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;72.0;15.0;15.0;0.0;72.0;386.0;258.0;128.0;0.0;386.0;3.0;281.0;77.0;11.0;6.0;7.0;1.0;0.0;173.0;23.0;141.0;4.0;2.0;43.0;48.0;37.0;11.0;0.0;48.0;0.0;15.0;29.0;2.0;1.0;1.0;0.0;0.0;31.0;6.0;8.0;1.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;141.0;245.0;0.0;11.0;37.0;0.0
19;2018;UNB;2;ARQUIVOLOGIA;UNIVERSIDADE;PUBLICA;ARQUIVOLOGIA;CIENCIAS SOCIAIS, COMUNICACAO E INFORMACAO;COMUNICACAO E INFORMACAO;CIENCIA DA INFORMACAO E MUSEOLOGIA;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;92.0;20.0;21.0;0.0;92.0;350.0;186.0;164.0;0.0;350.0;0.0;234.0;56.0;32.0;12.0;13.0;2.0;1.0;113.0;41.0;154.0;4.0;0.0;38.0;54.0;26.0;28.0;0.0;54.0;0.0;23.0;15.0;9.0;6.0;0.0;1.0;0.0;21.0;4.0;27.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;197.0;153.0;0.0;26.0;28.0;0.0
20;2018;UNB;2;ARTES CENICAS;UNIVERSIDADE;PUBLICA;ARTES CENICAS;ARTES E HUMANIDADES;ARTES;MUSICA E ARTES CENICAS;BACHARELADO;SIM;PRESENCIAL;GRADUACAO;2.0;0.0;0.0;2.0;0.0;93.0;50.0;43.0;93.0;0.0;0.0;67.0;21.0;3.0;2.0;0.0;0.0;0.0;49.0;9.0;24.0;3.0;3.0;5.0;23.0;13.0;10.0;23.0;0.0;0.0;14.0;7.0;1.0;1.0;0.0;0.0;0.0;13.0;2.0;6.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;31.0;62.0;0.0;4.0;19.0;0.0
21;2018;UNB;2;ARTES CENICAS;UNIVERSIDADE;PUBLICA;TEATRO FORMACAO DE PROFESSOR;EDUCACAO;EDUCACAO;FORMACAO DE PROFESSORES EM AREAS ESPECIFICAS (EXCETO LETRAS);LICENCIATURA;SIM;PRESENCIAL;GRADUACAO;36.0;10.0;0.0;0.0;36.0;82.0;46.0;36.0;0.0;82.0;0.0;64.0;7.0;7.0;2.0;1.0;1.0;0.0;18.0;13.0;36.0;1.0;0.0;14.0;8.0;2.0;6.0;0.0;8.0;0.0;3.0;2.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;5.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;47.0;35.0;0.0;4.0;4.0;0.0
22;2018;UNB;2;ARTES CENICAS;UNIVERSIDADE;PUBLICA;TEATRO FORMACAO DE PROFESSOR;EDUCACAO;EDUCACAO;FORMACAO DE PROFESSORES EM AREAS ESPECIFICAS (EXCETO LETRAS);LICENCIATURA;SIM;PRESENCIAL;GRADUACAO;3.0;0.0;0.0;3.0;0.0;88.0;59.0;29.0;88.0;0.0;0.0;68.0;19.0;1.0;0.0;0.0;0.0;0.0;34.0;16.0;25.0;4.0;1.0;8.0;15.0;13.0;2.0;15.0;0.0;0.0;12.0;3.0;0.0;0.0;0.0;0.0;0.0;9.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;47.0;0.0;4.0;11.0;0.0
23;2018;UNB;2;ARTES PLASTICAS;UNIVERSIDADE;PUBLICA;ARTES VISUAIS FORMACAO DE PROFESSOR;EDUCACAO;EDUCACAO;FORMACAO DE PROFESSORES EM AREAS ESPECIFICAS (EXCETO LETRAS);LICENCIATURA;SIM;PRESENCIAL;GRADUACAO;4.0;0.0;0.0;4.0;0.0;92.0;65.0;27.0;92.0;0.0;0.0;61.0;21.0;4.0;2.0;2.0;2.0;0.0;38.0;8.0;28.0;3.0;1.0;14.0;15.0;11.0;4.0;15.0;0.0;0.0;7.0;6.0;0.0;2.0;0.0;0.0;0.0;6.0;1.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;45.0;47.0;0.0;6.0;9.0;0.0
24;2018;UNB;2;ARTES PLASTICAS;UNIVERSIDADE;PUBLICA;ARTES VISUAIS FORMACAO DE PROFESSOR;EDUCACAO;EDUCACAO;FORMACAO DE PROFESSORES EM AREAS ESPECIFICAS (EXCETO LETRAS);LICENCIATURA;SIM;PRESENCIAL;GRADUACAO;49.0;0.0;17.0;0.0;49.0;108.0;62.0;46.0;0.0;108.0;0.0;58.0;26.0;9.0;8.0;6.0;1.0;0.0;51.0;14.0;30.0;1.0;0.0;12.0;14.0;11.0;3.0;0.0;14.0;0.0;4.0;7.0;1.0;1.0;1.0;0.0;0.0;5.0;1.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;58.0;0.0;6.0;8.0;0.0
